Institute,Program,Degree,Quota,Category,Gender,Opening_Rank,Closing_Rank
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,"(4 Years, Bachelor of Technology)",All India,ST,Gender-Neutral,248008,248008
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,"(4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,80500,90396
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,"(4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),82170,82170
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,"(4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,100961,126364
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,"(4 Years, Bachelor of Technology)",Home State,EWS,Female-only (including Supernumerary),123088,123088
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,"(4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,178044,178044
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,"(4 Years, Bachelor of Technology)",Home State,OBC-NCL,Female-only (including Supernumerary),231851,259158
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,"(4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,227320,227320
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,"(4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,52213,58114
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,"(4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),67369,67918
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,"(4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,60812,61191
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,"(4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,61972,66771
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,"(4 Years, Bachelor of Technology)",Other State,OBC-NCL,Female-only (including Supernumerary),81727,92975
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,"(4 Years, Bachelor of Technology)",Other State,SC,Gender-Neutral,180008,181463
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,"(4 Years, Bachelor of Technology)",Other State,SC,Female-only (including Supernumerary),156431,156431
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,"(4 Years, Bachelor of Technology)",Other State,ST,Gender-Neutral,252717,252717
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,"(4 Years, Bachelor of Technology)",All India,ST,Gender-Neutral,206400,212811
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,"(4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,49445,65761
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,"(4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),36816,36816
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,"(4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,71104,71104
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,"(4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,99424,99424
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,"(4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,210033,212668
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,"(4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,33910,41575
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,"(4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),46420,62541
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,"(4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,43747,45121
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,"(4 Years, Bachelor of Technology)",Other State,EWS,Female-only (including Supernumerary),68915,68915
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,"(4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,42844,48164
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,"(4 Years, Bachelor of Technology)",Other State,OBC-NCL,Female-only (including Supernumerary),65925,71483
