Institute,Program,Degree,Quota,Category,Gender,Opening_Rank,Closing_Rank
"National Institute of Technology Karnataka, Surathkal Mining Engineering (4","Years, Bachelor",of Technology) Other State OBC-NCL,Female-only (including,Supernumerary),70849,70849,70849
"National Institute of Technology Meghalaya Civil Engineering (4 Years,",Bachelor of,Technology) All India EWS Female-only,(including Supernumerary),172312,172312,172312,172312
"National Institute of Technology Meghalaya Civil Engineering (4 Years,",Bachelor of,Technology) Other State OPEN Female-only,(including Supernumerary),126400,130641,126400,130641
"National Institute of Technology Meghalaya Civil Engineering (4 Years,",Bachelor of,Technology) Other State OBC-NCL Female-only,(including Supernumerary),144166,144166,144166,144166
National Institute of Technology Meghalaya Computer Science and Engineering,"(4 Years,",Bachelor of Technology) Other State,OPEN Gender-Neutral,35937,35937,35937,35937
National Institute of Technology Meghalaya Computer Science and Engineering,"(4 Years,",Bachelor of Technology) Other State,OBC-NCL Gender-Neutral,38843,38843,38843,38843
National Institute of Technology Meghalaya Computer Science and Engineering,"(4 Years,",Bachelor of Technology) Other State,SC Female-only,(including,Supernumerary),196949,196949
National Institute of Technology Meghalaya Computer Science and Engineering,"(4 Years,",Bachelor of Technology) Other State,ST Gender-Neutral,188211,188211,188211,188211
National Institute of Technology Meghalaya Electrical and Electronics Engineering,"(4 Years,",Bachelor of Technology) All India,EWS Gender-Neutral,64691,64691,64691,64691
National Institute of Technology Meghalaya Electrical and Electronics Engineering,"(4 Years,",Bachelor of Technology) Other State,OPEN Gender-Neutral,49662,52822,49662,52822
National Institute of Technology Meghalaya Electrical and Electronics Engineering,"(4 Years,",Bachelor of Technology) Other State,EWS Gender-Neutral,70924,71779,70924,71779
National Institute of Technology Meghalaya Electrical and Electronics Engineering,"(4 Years,",Bachelor of Technology) Other State,OBC-NCL Gender-Neutral,53978,58751,53978,58751
National Institute of Technology Meghalaya Electrical and Electronics Engineering,"(4 Years,",Bachelor of Technology) Other State,SC Gender-Neutral,178206,178206,178206,178206
National Institute of Technology Meghalaya Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) Other State,OPEN Gender-Neutral,44548,44548,44548,44548
National Institute of Technology Meghalaya Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) Other State,OBC-NCL Gender-Neutral,50475,50475,50475,50475
"National Institute of Technology Meghalaya Mechanical Engineering (4 Years,",Bachelor of,Technology) All India EWS Female-only,(including Supernumerary),144298,144298,144298,144298
"National Institute of Technology Meghalaya Mechanical Engineering (4 Years,",Bachelor of,Technology) All India ST Female-only,(including Supernumerary),500643,571829,500643,571829
"National Institute of Technology Meghalaya Mechanical Engineering (4 Years,",Bachelor of,Technology) Other State OPEN Female-only,(including Supernumerary),133562,133562,133562,133562
"National Institute of Technology Meghalaya Mechanical Engineering (4 Years,",Bachelor of,Technology) Other State OBC-NCL Female-only,(including Supernumerary),138874,138874,138874,138874
"National Institute of Technology Meghalaya Mechanical Engineering (4 Years,",Bachelor of,Technology) Other State SC Female-only,(including Supernumerary),258710,258710,258710,258710
"National Institute of Technology Nagaland Civil Engineering (4 Years,",Bachelor of,Technology) Other State EWS Female-only,(including Supernumerary),245404,245404,245404,245404
"National Institute of Technology Nagaland Civil Engineering (4 Years,",Bachelor of,Technology) Other State OBC-NCL Female-only,(including Supernumerary),181403,181403,181403,181403
National Institute of Technology Nagaland Computer Science and Engineering,"(4 Years,",Bachelor of Technology) All India,ST Female-only,(including,Supernumerary),390777,390777
National Institute of Technology Nagaland Computer Science and Engineering,"(4 Years,",Bachelor of Technology) Home State,ST Gender-Neutral,701848,701848,701848,701848
National Institute of Technology Nagaland Computer Science and Engineering,"(4 Years,",Bachelor of Technology) Other State,OPEN Gender-Neutral,56055,56055,56055,56055
National Institute of Technology Nagaland Computer Science and Engineering,"(4 Years,",Bachelor of Technology) Other State,OPEN Female-only,(including,Supernumerary),88624,93115
National Institute of Technology Nagaland Computer Science and Engineering,"(4 Years,",Bachelor of Technology) Other State,EWS Gender-Neutral,61897,61897,61897,61897
National Institute of Technology Nagaland Computer Science and Engineering,"(4 Years,",Bachelor of Technology) Other State,OBC-NCL Gender-Neutral,59901,60217,59901,60217
National Institute of Technology Nagaland Computer Science and Engineering,"(4 Years,",Bachelor of Technology) Other State,OBC-NCL Female-only,(including,Supernumerary),93917,93917
National Institute of Technology Nagaland Electrical and Electronics Engineering,"(4 Years,",Bachelor of Technology) All India,ST Female-only,(including,Supernumerary),546084,592448
National Institute of Technology Nagaland Electrical and Electronics Engineering,"(4 Years,",Bachelor of Technology) Other State,OPEN Gender-Neutral,78989,81638,78989,81638
National Institute of Technology Nagaland Electrical and Electronics Engineering,"(4 Years,",Bachelor of Technology) Other State,OPEN Female-only,(including,Supernumerary),144556,150279
National Institute of Technology Nagaland Electrical and Electronics Engineering,"(4 Years,",Bachelor of Technology) Other State,EWS Gender-Neutral,90468,95585,90468,95585
National Institute of Technology Nagaland Electrical and Electronics Engineering,"(4 Years,",Bachelor of Technology) Other State,OBC-NCL Gender-Neutral,81948,83556,81948,83556
National Institute of Technology Nagaland Electrical and Electronics Engineering,"(4 Years,",Bachelor of Technology) Other State,OBC-NCL Female-only,(including,Supernumerary),158181,158181
National Institute of Technology Nagaland Electrical and Electronics Engineering,"(4 Years,",Bachelor of Technology) Other State,SC Gender-Neutral,212526,214556,212526,214556
National Institute of Technology Nagaland Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) All India,ST Gender-Neutral,378561,401113,378561,401113
National Institute of Technology Nagaland Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) All India,ST Female-only,(including,Supernumerary),490233,490233
